DO-01;Distrito Nacional Santo Domingo;district
DO-02;Azua;province
DO-03;Bahoruco;province
DO-04;Barahona;province
DO-05;Dajabón;province
DO-06;Duarte;province
DO-08;El Seybo;province
DO-09;Espaillat;province
DO-30;Hato Mayor;province
DO-10;Independencia;province
DO-11;La Altagracia;province
DO-07;La Estrelleta Elías Piña;province
DO-12;La Romana;province
DO-13;La Vega;province
DO-14;María Trinidad Sánchez;province
DO-28;Monseñor Nouel;province
DO-15;Monte Cristi;province
DO-29;Monte Plata;province
DO-16;Pedernales;province
DO-17;Peravia;province
DO-18;Puerto Plata;province
DO-19;Salcedo;province
DO-20;Samaná;province
DO-21;San Cristóbal;province
DO-31;San José de Ocoa;province
DO-22;San Juan;province
DO-23;San Pedro de Macorís;province
DO-24;Sánchez Ramírez;province
DO-25;Santiago;province
DO-26;Santiago Rodríguez;province
DO-32;Santo Domingo;province
DO-27;Valverde;province
