PE-CAL;El Callao;constitutional province
PE-LMA;Municipalidad Metropolitana de Lima;municipality
PE-AMA;Amazonas;department
PE-ANC;Ancash;department
PE-APU;Apurímac;department
PE-ARE;Arequipa;department
PE-AYA;Ayacucho;department
PE-CAJ;Cajamarca;department
PE-CUS;Cusco;department
PE-HUV;Huancavelica;department
PE-HUC;Huánuco;department
PE-ICA;Ica;department
PE-JUN;Junín;department
PE-LAL;La Libertad;department
PE-LAM;Lambayeque;department
PE-LIM;Lima;department
PE-LOR;Loreto;department
PE-MDD;Madre de Dios;department
PE-MOQ;Moquegua;department
PE-PAS;Pasco;department
PE-PIU;Piura;department
PE-PUN;Puno;department
PE-SAM;San Martín;department
PE-TAC;Tacna;department
PE-TUM;Tumbes;department
PE-UCA;Ucayali;department
