PG-NCD;Port Moresby;district
PG-CPM;Central;province
PG-CPK;Chimbu;province
PG-EHG;Eastern Highlands;province
PG-EBR;East New Britain;province
PG-ESW;East Sepik;province
PG-EPW;Enga;province
PG-GPK;Gulf;province
PG-MPM;Madang;province
PG-MRL;Manus;province
PG-MBA;Milne Bay;province
PG-MPL;Morobe;province
PG-NIK;New Ireland;province
PG-NPP;Northern;province
PG-NSA;North Solomons;province
PG-SAN;Sandaun;province
PG-SHM;Southern Highlands;province
PG-WPD;Western;province
PG-WHM;Western Highlands;province
PG-WBK;West New Britain;province
