TH-10;Krung Thep Maha Nakhon;metropolitan administration
TH-S;Pattaya;special administrative city
TH-37;Amnat Charoen;province
TH-15;Ang Thong;province
TH-31;Buri Ram;province
TH-24;Chachoengsao;province
TH-18;Chai Nat;province
TH-36;Chaiyaphum;province
TH-22;Chanthaburi;province
TH-50;Chiang Mai;province
TH-57;Chiang Rai;province
TH-20;Chon Buri;province
TH-86;Chumphon;province
TH-46;Kalasin;province
TH-62;Kamphaeng Phet;province
TH-71;Kanchanaburi;province
TH-40;Khon Kaen;province
TH-81;Krabi;province
TH-52;Lampang;province
TH-51;Lamphun;province
TH-42;Loei;province
TH-16;Lop Buri;province
TH-58;Mae Hong Son;province
TH-44;Maha Sarakham;province
TH-49;Mukdahan;province
TH-26;Nakhon Nayok;province
TH-73;Nakhon Pathom;province
TH-48;Nakhon Phanom;province
TH-30;Nakhon Ratchasima;province
TH-60;Nakhon Sawan;province
TH-80;Nakhon Si Thammarat;province
TH-55;Nan;province
TH-96;Narathiwat;province
TH-39;Nong Bua Lam Phu;province
TH-43;Nong Khai;province
TH-12;Nonthaburi;province
TH-13;Pathum Thani;province
TH-94;Pattani;province
TH-82;Phangnga;province
TH-93;Phatthalung;province
TH-56;Phayao;province
TH-67;Phetchabun;province
TH-76;Phetchaburi;province
TH-66;Phichit;province
TH-65;Phitsanulok;province
TH-54;Phrae;province
TH-14;Phra Nakhon Si Ayutthaya;province
TH-83;Phuket;province
TH-25;Prachin Buri;province
TH-77;Prachuap Khiri Khan;province
TH-85;Ranong;province
TH-70;Ratchaburi;province
TH-21;Rayong;province
TH-45;Roi Et;province
TH-27;Sa Kaeo;province
TH-47;Sakon Nakhon;province
TH-11;Samut Prakan;province
TH-74;Samut Sakhon;province
TH-75;Samut Songkhram;province
TH-19;Saraburi;province
TH-91;Satun;province
TH-17;Sing Buri;province
TH-33;Si Sa Ket;province
TH-90;Songkhla;province
TH-64;Sukhothai;province
TH-72;Suphan Buri;province
TH-84;Surat Thani;province
TH-32;Surin;province
TH-63;Tak;province
TH-92;Trang;province
TH-23;Trat;province
TH-34;Ubon Ratchathani;province
TH-41;Udon Thani;province
TH-61;Uthai Thani;province
TH-53;Uttaradit;province
TH-95;Yala;province
TH-35;Yasothon;province
